ISO3,Country,Region,Geographic_Zone,SurveyYear,Data_Source_ANC,Data_Source_TFR,Data_Source_Socioeconomic,Skilled_ANC_pct,No_ANC_pct,Skilled_Delivery_pct,Health_Facility_Delivery_pct,TFR,Adolescent_Fertility_Rate,General_Fertility_Rate,Care_Efficiency_Index,Risk_Zone,ANC_zscore,TFR_zscore,LISA_ANC,Quad_ANC,LISA_TFR,Quad_TFR,Moran_I_ANC,p_ANC,Moran_I_TFR,p_TFR,n_regions,N_Districts,Total_Population,Poverty_Incidence_mean_pct,Poverty_Intensity_mean_pct,Illiteracy_Rate_pct,Uninsurance_Rate_pct,Unemployment_Rate_pct,Youth_Dependency_Ratio,Illiterate_Population,Uninsured_Population,Total_Population.1,Female_Pop_0_14,Male_Pop_0_14,Female_Pop_15_64,Male_Pop_15_64,Female_Pop_65plus,Male_Pop_65plus,Risk_Zone_Grand,ANC_z_year,TFR_z_year,Risk_Zone_YearStratified
GHA,Ghana,Eastern,Southern Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.6,6.6,46.5,46.5,4.5,106.0,160.0,20.356,Emerging,-0.1719282736872286,-0.117555978333623,0.3029,HH,0.0942,LL,0.363,0.008,0.1156,0.049,10,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Emerging,0.558606195521641,-0.15156635731782142,Resilient
GHA,Ghana,Eastern,Southern Belt,2003,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.5,5.5,46.1,42.5,4.3,74.0,138.0,21.279,Emerging,-0.184936004920143,-0.3089745625228853,-0.0474,LH,0.266,LL,0.2579,0.016,0.1109,0.051,10,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Emerging,-0.1054190967838077,-0.38381581260432,Emerging
GHA,Ghana,Eastern,Southern Belt,2008,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,94.7,4.0,61.3,59.9,3.6,83.0,126.0,26.306,Resilient,0.2313113945331401,-0.9789396071853024,0.2232,LL,0.2771,LL,0.1475,0.059,-0.0483,0.278,10,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Resilient,-0.3795223834569625,-0.6316761657092368,Emerging
GHA,Ghana,Eastern,Southern Belt,2014,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.7,3.9,68.9,69.3,4.2,98.0,143.0,22.786,Resilient,0.3613887068622911,-0.404683854617516,0.0854,LL,0.18,LL,0.0394,0.134,0.1969,0.022,10,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Resilient,-0.8179511822998099,-0.30260757188927023,Emerging
GHA,Ghana,Eastern,Southern Belt,2016,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,96.2,2.9,,,3.6,58.0,120.0,26.722,Resilient,0.4264273630268665,-0.9789396071853024,0.3948,LL,0.4976,LL,0.1823,0.024,0.1143,0.026,10,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Resilient,-0.6870452393655205,-0.8762262903202239,Emerging
GHA,Ghana,Eastern,Southern Belt,2019,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,99.3,0.7,,,3.3,59.0,111.0,30.091,Resilient,0.8296670312472335,-1.2660674834691958,0.062,HH,0.6652,LL,-0.0823,0.354,0.2127,0.016,10,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Resilient,0.7424405140157575,-0.9729742025912596,Resilient
GHA,Ghana,Eastern,Southern Belt,2022,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,99.2,0.4,90.1,89.2,3.5,65.0,118.0,28.343,Resilient,0.8166593000143192,-1.0746488992799337,0.2211,HH,0.7279,LL,-0.1067,0.496,0.5696,0.001,13,33,2925653,22.7,42.55757575757576,21.0,26.41,47.69,55.57,614412,772731,2925653,481104,504384,911367,861988,96231,70579,Resilient,0.9693132667397601,-0.8254464941990249,Resilient
GHA,Ghana,Greater Accra,Southern Belt,1988,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,91.6,5.7,69.7,,4.7,86.0,159.0,19.489,Critical,-0.1719282736872286,0.0738626058556392,0.0993,HH,-0.1632,LH,-0.0435,0.158,-0.0978,0.299,8,29,5445135,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253,2157640,5445135,820623,816969,1847164,1779901,102495,77983,Critical,0.6503793850890455,-2.0069268216412417,Resilient
GHA,Ghana,Greater Accra,Southern Belt,1993,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,95.6,3.9,79.9,79.4,3.4,69.0,119.0,28.118,Resilient,0.3483809756293748,-1.1703581913745649,0.5069,HH,-0.5399,LH,0.2283,0.02,-0.0507,0.268,10,29,5445135,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253,2157640,5445135,820623,816969,1847164,1779901,102495,77983,Resilient,1.4132044360157963,-2.4715027877383458,Resilient
GHA,Ghana,Greater Accra,Southern Belt,1998,Ghana DHS subnational — access-to-health-care_subnational_gha.csv,Ghana DHS subnational — fertility-rates_subnational_gha.csv,Ghana Population & Housing Census / GHS — Master Sheet.xlsx,93.2,6.8,72.8,75.1,2.7,48.0,98.0,34.519,Resilient,0.0361954260394138,-1.840323236036982,0.3618,HH,0.0874,LL,0.363,0.008,0.1156,0.049,10,29,5445135,12.941379310344828,43.193103448275856,10.56,39.63,44.46,45.15,575253,2157640,5445135,820623,816969,1847164,1779901,102495,77983,Resilient,0.7324913925711799,-2.250177458641504,Resilient
